Species,Experiment,Patrol,SpeciesAnal,Site,TwigCodeNoPatrol,TwigArea_sum,TwigHerbivory_sum,TwigHerbProp,StartEndDiff,SaplingCodeNoPatrol,SaplingCodeUnique,TwigCodeUnique
SP2,1MO,A,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_Red,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_A,BUB_Cleidion_brevipetiolatum_1CN1_Red_A
SP2,1MO,B,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_Red,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_B,BUB_Cleidion_brevipetiolatum_1CN1_Red_B
SP2,1MO,C,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_Red,313.03071,2.34129,0.007479426,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_C,BUB_Cleidion_brevipetiolatum_1CN1_Red_C
SP2,1MO,D,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_Red,741.25728,35.21659,0.047509267,0.040029841,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_D,BUB_Cleidion_brevipetiolatum_1CN1_Red_D
SP2,1MO,A,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_White,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_A,BUB_Cleidion_brevipetiolatum_1CN1_White_A
SP2,1MO,B,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_White,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_B,BUB_Cleidion_brevipetiolatum_1CN1_White_B
SP2,1MO,C,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_White,805.86403,3.81897,0.004738976,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_C,BUB_Cleidion_brevipetiolatum_1CN1_White_C
SP2,1MO,D,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_White,662.508,41.18074,0.062158857,0.057419881,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_D,BUB_Cleidion_brevipetiolatum_1CN1_White_D
SP2,1MO,A,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_Blue,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_A,BUB_Cleidion_brevipetiolatum_2CN1_Blue_A
SP2,1MO,B,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_2CN1_Blue,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_2CN1,BUB_Cleidion_brevipetiolatum_2CN1_B,BUB_Cleidion_brevipetiolatum_2CN1_Blue_B
